1, 0.000000, 358.510937, 0.472946,358.710746,358.759381,358.759381,358.759381,357.565795
2, 10.000000, 6.146927, 0.997394,6.420377,6.180008,5.045626,7.842274,5.246348
3, 10.000000, 5.166059, 0.098333,5.246348,5.045626,5.045626,5.246348,5.246348
4, 20.000000, 14.366510, 0.512380,13.448363,14.449154,14.449154,15.036723,14.449154
5, 30.000000, 18.815207, 2.066844,22.655608,19.256299,17.613716,16.936695,17.613716
6, 30.000000, 20.937468, 0.000000,20.937468,20.937468,20.937468,20.937468,20.937468
7, 40.000000, 28.259268, 2.004289,25.153844,29.853717,29.853717,26.581347,29.853717
8, 50.000000, 41.721136, 1.682692,40.423207,42.795501,44.540560,40.423207,40.423207
9, 60.000000, 58.355936, 8.668475,53.431403,75.024009,53.615370,58.504299,51.204596
10, 70.000000, 70.353640, 5.113486,76.952996,65.099284,76.053359,65.764017,67.898542
11, 80.000000, 82.048335, 1.997539,78.904669,85.221327,82.038560,82.038560,82.038560
12, 90.000000, 89.373664, 1.252673,88.434159,88.434159,90.000000,88.434159,91.565841
13, 100.000000, 202.260796, 86.284428,271.565841,96.587172,273.281898,96.587172,273.281898
14, 100.000000, 165.899713, 87.700217,271.565841,96.587172,86.718102,99.848779,274.778673
15, 110.000000, 107.333177, 3.849204,111.308573,103.946641,101.842508,111.308573,108.259589
16, 120.000000, 126.411483, 1.482614,128.795404,126.384630,124.108121,126.384630,126.384630
17, 130.000000, 137.945617, 1.538461,139.576793,135.459440,137.433952,139.576793,137.681107
18, 140.000000, 150.003094, 1.355930,151.465412,150.784700,150.146283,150.146283,147.472790
18, 150.000000, 159.055137, 1.074994,157.344392,159.062532,159.062532,159.062532,160.743701
19, 160.000000, 164.238878, 1.185550,162.386284,164.963277,163.330708,165.550846,164.963277
20, 170.000000, 173.675770, 0.117756,173.579623,173.579623,173.579623,173.819992,173.819992
21, 180.000000, 180.744371, 0.607777,180.000000,180.000000,181.240619,181.240619,181.240619
22, 190.000000, 186.568622, 0.952698,184.859662,187.267814,186.180008,187.267814,187.267814
23, 200.000000, 194.275861, 1.463298,191.999937,194.835745,194.835745,193.399447,196.308429
24, 210.000000, 200.174853, 0.967532,200.168613,200.168613,200.168613,201.713967,198.654457
25, 220.000000, 205.267606, 1.488511,204.892684,204.187781,204.892684,208.177100,204.187781
26, 230.000000, 211.545651, 1.441986,212.266644,208.661680,212.266644,212.266644,212.266644
27, 240.000000, 222.439281, 0.712440,222.795501,222.795501,222.795501,222.795501,221.014401
28, 250.000000, 235.796567, 1.560887,235.621056,233.615370,235.621056,238.504299,235.621056
29, 260.000000, 250.828184, 1.564768,252.744625,252.744625,249.550557,249.550557,249.550557
30, 270.000000, 123.636539, 70.626905,264.890349,88.323087,88.323087,88.323087,88.323087
31, 270.000000, 158.245269, 85.695632,88.195575,88.323087,264.890349,261.494245,88.323087
32, 270.000000, 158.949992, 86.499940,88.323087,88.323087,88.323087,264.890349,264.890349
33, 280.000000, 282.586651, 3.083983,278.505755,285.099569,285.099569,279.128793,285.099569
34, 290.000000, 299.686486, 0.904607,299.234182,301.495701,299.234182,299.234182,299.234182
35, 300.000000, 313.182775, 0.032648,313.166451,313.166451,313.248071,313.166451,313.166451
36, 310.000000, 324.105178, 0.766456,324.488406,324.488406,324.488406,324.488406,322.572267
37, 320.000000, 332.836472, 1.154184,334.846156,333.105810,332.446038,332.446038,331.338320
38, 330.000000, 338.575219, 0.646139,339.062532,338.235677,337.452823,339.062532,339.062532
39, 340.000000, 343.382726, 1.117384,343.691571,342.183118,345.164255,343.691571,342.183118
40, 350.000000, 350.482846, 0.470128,350.349537,350.349537,350.349537,351.379879,349.985737
